,UserID,CreatedAt,CollectedAt,NumberOfFollowings,NumberOfFollowers,NumberOfTweets,LengthOfScreenName,LengthOfDescriptionInUserProfile,BadUser
72,7400262,7/11/2007 7:30,1/1/2010 10:50,3051,3534,818,13,155,1
1722,19937098,2/2/2009 16:12,1/1/2010 10:52,39309,36143,5263,15,153,1
824,16472256,9/26/2008 14:03,1/1/2010 11:16,4903,4901,1214,13,85,1
46,5925682,5/10/2007 5:20,1/1/2010 11:46,16967,15424,11152,9,36,1
11428,100869831,12/31/2009 18:30,1/1/2010 11:46,210,0,0,14,0,1
11435,100876414,12/31/2009 19:24,1/1/2010 11:47,950,3,0,9,31,1
9677,92989672,11/27/2009 9:31,1/1/2010 12:16,880,23,22,8,103,1
3719,39352567,5/11/2009 16:54,1/1/2010 12:17,4904,4458,1446,15,159,1
1445,18756494,1/8/2009 0:42,1/1/2010 12:18,3276,2984,459,7,0,1
8776,88013226,11/6/2009 13:25,1/1/2010 12:43,1184,275,310,8,33,1
2861,29202964,4/6/2009 8:49,1/1/2010 12:51,1273,1031,1229,10,135,1
7267,75632160,9/19/2009 15:14,1/1/2010 13:37,1910,1617,269,12,75,1
2152,22517455,3/2/2009 12:41,1/1/2010 13:38,31732,33989,298,13,67,1
9733,93436113,11/29/2009 10:56,1/1/2010 14:04,2051,1950,181,12,159,1
915,16746862,10/14/2008 17:16,1/1/2010 14:33,41840,40143,705,9,52,1
775,16275559,9/13/2008 15:12,1/1/2010 14:54,29566,29230,7705,10,146,1
3177,33155191,4/19/2009 2:18,1/1/2010 14:54,10,1,6,7,0,1
4520,47569542,6/16/2009 2:30,1/1/2010 14:55,7578,7422,9887,13,69,1
11129,99994461,12/28/2009 10:53,1/1/2010 15:31,489,116,42,15,75,1
6434,67469332,8/20/2009 19:25,1/1/2010 15:32,545,314,599,15,47,1
10480,97067127,12/15/2009 15:34,1/1/2010 15:35,969,326,447,15,54,1
1979,21477002,2/21/2009 5:10,1/1/2010 16:03,1421,102,7,13,0,1
4566,48394579,6/18/2009 11:03,1/1/2010 16:04,413,129,18,15,54,1
10492,97139763,12/15/2009 23:06,1/1/2010 16:29,1216,1000,495,11,80,1
5479,58384597,7/19/2009 23:04,1/1/2010 16:31,1938,1354,1465,9,69,1
94,8377772,8/23/2007 3:17,1/1/2010 16:32,10293,9794,1906,15,98,1
5889,62195093,8/1/2009 23:25,1/1/2010 17:02,1272,1013,1618,13,28,1
7723,79554123,10/3/2009 15:08,1/1/2010 17:35,1627,1260,431,14,76,1
10986,99243700,12/25/2009 1:57,1/1/2010 18:03,1440,581,132,10,35,1
10109,95483486,12/8/2009 13:21,1/1/2010 18:08,759,592,138,14,55,1
10160,95751299,12/9/2009 16:47,1/1/2010 18:09,189,0,12,10,0,1
11593,101084176,1/1/2010 17:32,1/1/2010 18:34,794,13,1,15,28,1
11427,100869484,12/31/2009 18:27,1/1/2010 18:38,975,4,0,11,84,1
8825,88257966,11/7/2009 13:56,1/1/2010 18:38,1077,153,281,14,63,1
7835,80617058,10/7/2009 11:35,1/1/2010 18:40,1407,1355,207,12,112,1
8844,88394676,11/8/2009 4:38,1/1/2010 18:43,534,16,1,11,0,1
5945,62597819,8/3/2009 14:23,1/1/2010 18:43,1065,783,14112,13,0,1
4562,48374521,6/18/2009 9:59,1/1/2010 19:05,4055,4036,822,13,120,1
8843,88394113,11/8/2009 4:33,1/1/2010 19:05,947,49,1,13,0,1
8839,88392424,11/8/2009 4:19,1/1/2010 19:06,904,14,0,13,0,1
8840,88392966,11/8/2009 4:23,1/1/2010 19:07,880,37,1,14,0,1
11577,101043142,1/1/2010 13:39,1/1/2010 19:07,248,2,0,9,107,1
9233,90931241,11/18/2009 12:45,1/1/2010 19:09,868,108,254,11,94,1
8841,88393447,11/8/2009 4:27,1/1/2010 19:12,913,65,2,12,0,1
4363,45982087,6/9/2009 18:51,1/1/2010 19:13,518,279,176,11,31,1
7949,81716923,10/11/2009 19:14,1/1/2010 19:14,1736,1641,277,9,59,1
7476,78151192,9/28/2009 18:15,1/1/2010 19:14,5931,5890,398,10,135,1
6366,66865763,8/18/2009 20:18,1/1/2010 19:14,2604,2600,426,14,97,1
5521,58742456,7/21/2009 3:24,1/1/2010 19:14,283,206,9,8,0,1
11016,99414516,12/25/2009 21:30,1/1/2010 19:38,357,54,13,8,105,1
10956,99148612,12/24/2009 12:25,1/1/2010 19:40,1981,901,21,15,0,1
10531,97322835,12/16/2009 18:30,1/1/2010 19:41,879,455,24,6,160,1
561,15443101,7/15/2008 12:23,1/1/2010 19:41,38471,35791,51895,8,100,1
8620,86936137,11/2/2009 6:54,1/1/2010 1:10,2984,2715,1507,8,18,1
11371,100677107,12/30/2009 22:15,1/1/2010 1:10,207,10,0,11,0,1
5840,61738961,7/31/2009 5:03,1/1/2010 1:13,1923,1654,639,13,78,1
6940,72507534,9/8/2009 3:43,1/1/2010 1:14,1212,446,39,12,117,1
6684,70269793,8/30/2009 20:26,1/1/2010 1:34,2043,1944,5636,13,46,1
11301,100420158,12/29/2009 23:57,1/1/2010 1:35,1178,55,7,9,0,1
7256,75433912,9/18/2009 19:59,1/1/2010 1:35,2484,2260,719,10,84,1
11169,100117977,12/28/2009 21:08,1/1/2010 1:35,821,86,211,12,57,1
10184,95870132,12/10/2009 4:07,1/1/2010 1:35,133,24,12,13,0,1
11403,100817731,12/31/2009 12:16,1/1/2010 1:36,488,2,62,15,0,1
7677,79093046,10/1/2009 23:22,1/1/2010 1:36,793,767,81,11,59,1
5058,54093228,7/5/2009 22:09,1/1/2010 1:36,2708,3009,5,8,18,1
11412,100831330,12/31/2009 13:38,1/1/2010 1:37,507,3,0,12,49,1
6664,70054040,8/30/2009 0:01,1/1/2010 1:59,1153,891,226,8,53,1
1893,21001684,2/16/2009 10:52,1/1/2010 20:04,3220,3156,1203,13,99,1
9646,92801007,11/26/2009 11:49,1/1/2010 20:04,990,452,241,14,0,1
11601,101106760,1/1/2010 19:44,1/1/2010 20:05,139,1,0,10,0,1
7708,79266148,10/2/2009 14:28,1/1/2010 20:05,2477,2270,105,15,57,1
1271,18164354,12/16/2008 9:37,1/1/2010 20:08,3720,4596,48,12,156,1
11432,100873388,12/31/2009 19:00,1/1/2010 20:10,941,8,0,7,114,1
10977,99221605,12/24/2009 22:52,1/1/2010 20:33,363,26,150,12,0,1
11573,101030375,1/1/2010 12:28,1/1/2010 20:34,584,1,82,14,49,1
7140,74915335,9/16/2009 21:51,1/1/2010 20:36,2840,2581,3282,12,67,1
5024,53701423,7/4/2009 11:16,1/1/2010 20:36,946,648,628,8,0,1
5355,57023447,7/15/2009 9:00,1/1/2010 20:38,1264,874,3,10,151,1
4687,49374343,6/21/2009 12:43,1/1/2010 21:00,5797,5270,23,8,114,1
1502,18953439,1/13/2009 15:06,1/1/2010 21:00,19345,19431,721,13,77,1
5846,61778136,7/31/2009 9:07,1/1/2010 21:01,4942,4837,428,15,75,1
2865,29210813,4/6/2009 9:34,1/1/2010 21:03,2537,2403,370,15,71,1
10650,97890798,12/19/2009 6:40,1/1/2010 21:04,1,0,3,11,0,1
11424,100860314,12/31/2009 17:05,1/1/2010 21:05,1330,412,8,8,73,1
7715,79395776,10/3/2009 1:44,1/1/2010 21:53,2999,2818,2608,15,146,1
4303,45309701,6/7/2009 3:51,1/1/2010 21:53,1906,619,15177,4,23,1
4912,52414018,6/30/2009 9:50,1/1/2010 21:57,1943,957,58,14,106,1
1275,18173633,12/16/2008 15:41,1/1/2010 22:22,535,283,132,11,64,1
1310,18303628,12/22/2008 2:21,1/1/2010 22:23,4282,4894,174,9,158,1
673,15854078,8/14/2008 13:46,1/1/2010 22:23,39835,38072,4679,13,149,1
8921,89011385,11/10/2009 14:18,1/1/2010 22:24,1042,62,331,13,0,1
8901,88859508,11/9/2009 23:27,1/1/2010 22:24,611,35,166,13,0,1
6620,69557491,8/28/2009 5:36,1/1/2010 22:25,1054,284,17,15,105,1
5557,59137864,7/22/2009 9:22,1/1/2010 22:27,5745,5775,1602,15,23,1
11547,100986575,1/1/2010 8:30,1/1/2010 22:49,45,7,5,15,0,1
11535,100985566,1/1/2010 8:25,1/1/2010 22:49,8,2,1,15,0,1
11549,100986774,1/1/2010 8:31,1/1/2010 22:49,10,0,1,12,0,1
11563,100988013,1/1/2010 8:37,1/1/2010 22:49,8,0,1,14,0,1
11561,100987745,1/1/2010 8:36,1/1/2010 22:49,9,0,1,15,0,1
11548,100986740,1/1/2010 8:31,1/1/2010 22:49,9,0,1,12,0,1
11444,100884401,12/31/2009 20:30,1/1/2010 22:51,967,4,0,13,0,1
11556,100986980,1/1/2010 8:32,1/1/2010 22:55,10,0,1,15,0,1
11557,100987164,1/1/2010 8:33,1/1/2010 22:55,10,0,1,13,0,1
6021,63567598,8/6/2009 18:00,1/1/2010 23:19,4184,4570,268,14,52,1
2077,22020697,2/26/2009 9:28,1/1/2010 23:19,1978,1043,12,15,27,1
4397,46299239,6/10/2009 22:05,1/1/2010 23:19,5077,4617,7849,14,45,1
11433,100873392,12/31/2009 19:00,1/1/2010 23:20,918,9,0,11,61,1
5787,61260720,7/29/2009 13:26,1/1/2010 23:22,1999,413,10,14,153,1
9090,90081638,11/14/2009 21:07,1/1/2010 23:23,1909,515,116,11,74,1
3103,32237873,4/16/2009 20:16,1/1/2010 23:24,104,20,22,9,75,1
28,3291901,4/3/2007 1:04,1/1/2010 23:44,6071,5913,2072,8,105,1
11388,100765072,12/31/2009 7:18,1/1/2010 23:46,1372,64,8,8,40,1
10926,99022935,12/23/2009 21:57,1/1/2010 23:47,1000,54,56,11,46,1
6648,69865695,8/29/2009 8:20,1/1/2010 23:48,1662,1233,468,15,79,1
4688,49404066,6/21/2009 14:34,1/1/2010 23:48,34222,32981,265,10,25,1
4695,49457632,6/21/2009 17:56,1/1/2010 23:48,456,588,139,12,93,1
3315,34893016,4/24/2009 5:17,1/1/2010 23:49,1666,1211,26,9,0,1
11449,100887137,12/31/2009 20:52,1/1/2010 23:49,935,9,0,13,0,1
11372,100680635,12/30/2009 22:35,1/1/2010 2:00,661,114,10,11,62,1
8627,86969292,11/2/2009 9:59,1/1/2010 2:00,29,115,201,13,0,1
6274,66062767,8/16/2009 0:44,1/1/2010 2:00,1775,609,3424,7,0,1
8217,84051214,10/21/2009 5:42,1/1/2010 2:26,1963,1680,208,8,132,1
11404,100818712,12/31/2009 12:22,1/1/2010 2:27,567,5,86,7,85,1
2772,28258860,4/1/2009 21:17,1/1/2010 2:27,1487,524,514,13,0,1
3068,31428612,4/15/2009 10:08,1/1/2010 2:35,11928,10853,1783,12,131,1
1815,20611194,2/11/2009 12:54,1/1/2010 2:35,32770,29966,2366,10,142,1
1162,17790274,12/1/2008 15:43,1/1/2010 2:35,12585,45329,1344,8,160,1
4938,52715607,7/1/2009 7:48,1/1/2010 2:35,5418,4930,312,15,112,1
11413,100831607,12/31/2009 13:39,1/1/2010 2:48,559,3,0,14,106,1
11380,100723924,12/31/2009 2:44,1/1/2010 2:49,248,0,0,12,111,1
5690,60371515,7/26/2009 14:05,1/1/2010 2:50,1627,1053,3735,15,46,1
3358,35368015,4/25/2009 20:41,1/1/2010 3:12,2882,2627,1524,14,106,1
8707,87507539,11/4/2009 13:07,1/1/2010 3:13,367,27,1197,12,75,1
10489,97129337,12/15/2009 21:55,1/1/2010 3:13,1901,337,4,14,154,1
10836,98711806,12/22/2009 14:20,1/1/2010 3:13,813,201,2,9,26,1
1725,19961837,2/3/2009 3:30,1/1/2010 3:35,20518,18948,2824,11,129,1
44,5884032,5/8/2007 21:44,1/1/2010 3:36,5223,5118,57,9,14,1
965,16939919,10/23/2008 19:22,1/1/2010 3:37,3122,3313,339,10,153,1
8704,87476998,11/4/2009 10:38,1/1/2010 3:37,1209,761,95,9,160,1
10954,99144504,12/24/2009 11:55,1/1/2010 3:37,1786,821,199,9,0,1
2962,30279074,4/10/2009 13:31,1/1/2010 3:38,30786,28209,231,12,131,1
1070,17368287,11/13/2008 10:36,1/1/2010 3:38,7901,7406,10363,8,114,1
10244,96132499,12/11/2009 8:08,1/1/2010 3:39,304,52,200,13,0,1
10549,97393512,12/17/2009 1:58,1/1/2010 3:39,1186,195,1,11,0,1
433,14854312,5/21/2008 4:22,1/1/2010 3:39,765,92,1,3,29,1
11406,100820199,12/31/2009 12:31,1/1/2010 4:01,675,0,82,7,158,1
6661,69999795,8/29/2009 19:12,1/1/2010 4:03,1379,1346,3534,13,157,1
11414,100832130,12/31/2009 13:42,1/1/2010 4:03,952,5,0,9,98,1
8013,82417542,10/14/2009 12:59,1/1/2010 4:04,2832,2882,1732,14,58,1
2606,26563593,3/25/2009 13:59,1/1/2010 4:05,45053,41343,99,9,154,1
11467,100937403,1/1/2010 2:37,1/1/2010 4:05,111,2,0,13,0,1
1085,17436475,11/17/2008 0:40,1/1/2010 4:26,16188,15981,4797,9,58,1
1028,17227214,11/6/2008 23:50,1/1/2010 4:26,8427,10552,864,7,154,1
714,15997453,8/26/2008 10:03,1/1/2010 4:27,10780,9849,248,5,73,1
7719,79433675,10/3/2009 6:00,1/1/2010 4:28,202,5,5,6,0,1
4856,51693211,6/28/2009 4:40,1/1/2010 4:28,6376,5798,2060,13,0,1
426,14833707,5/19/2008 10:18,1/1/2010 4:37,12440,11331,161,7,61,1
2985,30496611,4/11/2009 13:31,1/1/2010 4:49,3363,3060,1654,13,30,1
10994,99276567,12/25/2009 6:39,1/1/2010 4:50,914,709,162,9,49,1
6462,67783555,8/21/2009 20:54,1/1/2010 4:51,2695,2450,180,9,114,1
10726,98271312,12/20/2009 21:25,1/1/2010 4:52,872,139,129,15,0,1
522,15300050,7/2/2008 12:52,1/1/2010 4:52,14697,14240,1932,11,77,1
10222,96072135,12/11/2009 0:23,1/1/2010 4:53,809,493,43,12,110,1
1347,18417028,12/27/2008 17:30,1/1/2010 5:14,4831,4430,2002,6,126,1
10995,99295694,12/25/2009 8:34,1/1/2010 5:14,1463,642,134,11,86,1
3517,37250573,5/2/2009 13:19,1/1/2010 5:16,832,138,11,13,0,1
10774,98520141,12/21/2009 19:51,1/1/2010 5:16,297,50,3,12,33,1
1985,21515530,2/21/2009 14:47,1/1/2010 5:16,9867,11834,386,14,32,1
10999,99323382,12/25/2009 11:04,1/1/2010 5:17,586,298,283,13,97,1
7982,82089224,10/13/2009 8:06,1/1/2010 5:17,5468,4972,5,15,0,1
2441,24960111,3/17/2009 16:36,1/1/2010 5:17,1277,254,77,8,115,1
5318,56668404,7/14/2009 6:20,1/1/2010 5:39,842,263,441,8,95,1
2159,22564781,3/2/2009 19:27,1/1/2010 5:40,18758,17276,11730,6,63,1
8483,85963187,10/28/2009 20:21,1/1/2010 5:40,3015,2741,1606,10,90,1
7045,73758189,9/12/2009 18:15,1/1/2010 5:40,1466,323,545,7,30,1
1450,18774817,1/8/2009 13:13,1/1/2010 5:40,2059,1871,1276,13,96,1
8366,85221103,10/25/2009 21:41,1/1/2010 5:40,1833,1769,1395,10,0,1
5645,60052044,7/25/2009 7:58,1/1/2010 5:40,1626,583,58,13,153,1
5128,54825725,7/8/2009 2:03,1/1/2010 5:41,2508,2280,88,14,40,1
10673,97972838,12/19/2009 14:07,1/1/2010 5:42,729,303,226,14,87,1
11013,99392688,12/25/2009 19:06,1/1/2010 5:42,805,384,163,14,97,1
10747,98365132,12/21/2009 6:25,1/1/2010 5:42,855,52,33,14,0,1
11418,100840843,12/31/2009 14:41,1/1/2010 5:43,599,38,3,7,35,1
5388,57417179,7/16/2009 14:10,1/1/2010 5:44,1059,1129,1054,12,138,1
7093,74423126,9/15/2009 6:21,1/1/2010 5:45,1957,991,213,14,54,1
1813,20605811,2/11/2009 11:44,1/1/2010 6:06,3749,3408,1379,4,85,1
6278,66171913,8/16/2009 14:13,1/1/2010 6:07,1918,609,384,15,137,1
10402,96685965,12/13/2009 21:37,1/1/2010 6:08,1981,310,34,13,86,1
8063,82841434,10/16/2009 4:44,1/1/2010 6:30,1375,1470,755,10,135,1
11429,100870486,12/31/2009 18:36,1/1/2010 6:30,510,2,0,9,0,1
11475,100954585,1/1/2010 4:58,1/1/2010 6:30,178,4,2,8,0,1
8889,88784272,11/9/2009 16:46,1/1/2010 6:31,7485,6916,1519,14,65,1
11479,100955134,1/1/2010 5:02,1/1/2010 6:32,357,1,1,9,66,1
11477,100954870,1/1/2010 5:00,1/1/2010 6:32,353,1,1,10,23,1
11478,100954997,1/1/2010 5:01,1/1/2010 6:32,353,2,1,10,38,1
10655,97899097,12/19/2009 7:30,1/1/2010 6:32,1031,581,11,12,125,1
9953,94717968,12/4/2009 21:50,1/1/2010 6:33,1173,780,748,10,23,1
11058,99695994,12/27/2009 6:04,1/1/2010 6:41,314,211,1038,13,125,1
10976,99221176,12/24/2009 22:48,1/1/2010 6:41,543,40,47,11,0,1
3067,31410453,4/15/2009 8:48,1/1/2010 6:41,19753,21815,1019,7,139,1
9396,91460163,11/20/2009 18:19,1/1/2010 6:41,2665,2424,474,15,77,1
1983,21502759,2/21/2009 11:51,1/1/2010 6:56,6696,6099,617,15,158,1
7519,78681530,9/30/2009 14:01,1/1/2010 6:56,4964,4677,2896,9,58,1
11480,100955290,1/1/2010 5:04,1/1/2010 6:57,346,3,0,8,55,1
10672,97968311,12/19/2009 13:40,1/1/2010 6:57,202,135,209,8,108,1
10055,95247769,12/7/2009 11:58,1/1/2010 6:57,573,181,291,11,0,1
10538,97349506,12/16/2009 21:11,1/1/2010 7:00,779,490,3,9,85,1
9998,94936003,12/5/2009 22:44,1/1/2010 7:21,1243,1033,186,9,68,1
11109,99922922,12/28/2009 4:57,1/1/2010 7:22,1193,783,22,8,14,1
5330,56767025,7/14/2009 13:08,1/1/2010 7:25,1011,1003,67,8,26,1
1597,19353939,1/22/2009 12:56,1/1/2010 7:42,5440,5176,21747,9,158,1
8175,83773343,10/20/2009 0:09,1/1/2010 7:49,1424,1389,448,14,60,1
2487,25376021,3/19/2009 15:19,1/1/2010 8:13,2000,1361,784,4,47,1
3033,30998649,4/13/2009 18:59,1/1/2010 8:17,98,40,216,15,140,1
7992,82266819,10/13/2009 22:32,1/1/2010 8:40,1923,1859,80,14,124,1
11379,100723591,12/31/2009 2:42,1/1/2010 8:40,964,12,0,9,76,1
10033,95146732,12/7/2009 0:03,1/1/2010 8:41,1039,718,160,8,76,1
10075,95319030,12/7/2009 19:01,1/1/2010 9:04,2000,1753,263,9,85,1
9449,91707655,11/21/2009 20:49,1/1/2010 9:33,1999,1091,32,15,60,1
11684,101232119,1/2/2010 8:16,1/10/2010 0:11,636,4,1,15,0,1
11685,101232127,1/2/2010 8:16,1/10/2010 0:11,294,3,1,10,0,1
11686,101232131,1/2/2010 8:16,1/10/2010 0:11,571,5,1,13,0,1
11687,101232136,1/2/2010 8:16,1/10/2010 0:11,524,6,1,15,0,1
11659,101230467,1/2/2010 8:08,1/10/2010 0:11,375,4,1,13,0,1
11675,101231610,1/2/2010 8:13,1/10/2010 0:11,619,3,1,12,0,1
11676,101231754,1/2/2010 8:14,1/10/2010 0:11,573,2,1,13,0,1
9335,91106989,11/19/2009 7:45,1/10/2010 0:32,1409,592,96,7,156,1
9737,93464751,11/29/2009 13:40,1/10/2010 0:32,391,186,169,10,43,1
11692,101232240,1/2/2010 8:16,1/10/2010 0:32,463,2,1,14,0,1
12260,102905645,1/8/2010 0:23,1/10/2010 0:33,515,56,9,12,0,1
3905,41385556,5/20/2009 10:54,1/10/2010 0:33,4418,4653,172,15,136,1
305,14310835,4/5/2008 10:46,1/10/2010 0:33,93,15,9,10,50,1
11689,101232193,1/2/2010 8:16,1/10/2010 0:33,548,1,1,15,0,1
4784,50521159,6/24/2009 21:18,1/10/2010 0:54,505,167,25,11,42,1
8384,85380044,10/26/2009 13:31,1/10/2010 0:54,1567,1120,1084,11,87,1
9524,92002182,11/23/2009 6:08,1/10/2010 0:54,1899,1659,246,13,155,1
10815,98649597,12/22/2009 8:47,1/10/2010 0:54,969,77,852,9,88,1
7370,76874010,9/24/2009 1:32,1/10/2010 10:21,2256,2049,89,12,101,1
11180,100165793,12/29/2009 1:29,1/10/2010 10:42,827,258,104,15,112,1
4890,52126582,6/29/2009 12:39,1/10/2010 10:42,1135,824,1312,8,0,1
7400,77164761,9/25/2009 3:07,1/10/2010 10:43,4557,4147,1009,12,40,1
9037,89783634,11/13/2009 14:19,1/10/2010 11:03,2821,2675,1106,9,84,1
6951,72648803,9/8/2009 14:52,1/10/2010 11:03,221,141,30,12,90,1
4253,44902362,6/5/2009 9:24,1/10/2010 11:03,1533,1308,118,10,62,1
10119,95532068,12/8/2009 18:02,1/10/2010 11:24,1559,375,16,15,0,1
681,15891723,8/18/2008 9:04,1/10/2010 12:06,23784,21959,4470,5,105,1
10718,98221210,12/20/2009 16:40,1/10/2010 12:06,589,87,29,11,85,1
1988,21544692,2/21/2009 22:19,1/10/2010 12:27,2399,2445,390,11,135,1
4609,48963345,6/20/2009 3:42,1/10/2010 12:27,2001,1696,4657,10,104,1
2708,27637084,3/30/2009 8:37,1/10/2010 12:28,1965,1034,440,12,159,1
130,9922242,11/3/2007 14:13,1/10/2010 12:49,2072,4283,3490,8,83,1
10000,94944072,12/5/2009 23:46,1/10/2010 12:49,533,331,10,7,0,1
6439,67511076,8/20/2009 22:25,1/10/2010 13:10,1473,1100,637,6,73,1
5860,61973829,8/1/2009 0:47,1/10/2010 13:31,6257,6158,2426,12,151,1
11973,101940401,1/4/2010 21:12,1/10/2010 14:13,20,0,4,14,0,1
8291,84571160,10/23/2009 6:56,1/10/2010 14:33,1988,1647,731,14,159,1
6254,65921011,8/15/2009 10:46,1/10/2010 14:34,699,133,64,13,155,1
8337,85054886,10/25/2009 5:36,1/10/2010 14:55,534,104,61,13,104,1
12448,103612054,1/10/2010 10:53,1/10/2010 15:36,98,1,1,10,72,1
12444,103602215,1/10/2010 10:08,1/10/2010 15:36,117,6,17,14,0,1
8783,88022622,11/6/2009 14:14,1/10/2010 15:37,1920,1378,1316,12,153,1
1321,18341430,12/23/2008 14:20,1/10/2010 15:58,14544,13351,2085,13,160,1
12442,103587876,1/10/2010 9:00,1/10/2010 15:58,615,5,0,13,0,1
12294,103027410,1/8/2010 10:38,1/10/2010 16:19,404,72,13,11,101,1
11602,101109990,1/1/2010 20:04,1/10/2010 16:19,1478,179,61,15,102,1
11289,100377159,12/29/2009 20:12,1/10/2010 16:40,349,48,21,11,0,1
10058,95260709,12/7/2009 13:14,1/10/2010 17:21,51,4,29,10,0,1
1559,19218065,1/19/2009 21:37,1/10/2010 17:22,408,101,170,6,109,1
9545,92108133,11/23/2009 14:39,1/10/2010 17:42,1813,1336,1212,12,64,1
9559,92217081,11/24/2009 0:49,1/10/2010 17:43,1331,400,652,13,73,1
493,15171329,6/19/2008 12:41,1/10/2010 17:43,2894,4312,135,12,50,1
947,16876002,10/20/2008 17:13,1/10/2010 18:24,2477,2442,1152,12,130,1
785,16325332,9/17/2008 3:13,1/10/2010 19:07,19335,19198,4403,11,141,1
7479,78185343,9/28/2009 20:51,1/10/2010 19:28,2436,2712,6144,15,47,1
3765,39916731,5/13/2009 22:25,1/10/2010 19:28,261,190,266,13,78,1
11884,101689920,1/4/2010 1:19,1/10/2010 19:28,595,83,2,15,126,1
6299,66287190,8/17/2009 0:35,1/10/2010 19:29,625,750,383,11,74,1
2599,26475553,3/25/2009 6:26,1/10/2010 19:29,5487,4995,91,10,22,1
6334,66622951,8/18/2009 2:24,1/10/2010 1:15,611,375,272,12,0,1
1577,19301701,1/21/2009 13:12,1/10/2010 1:16,10405,10009,10257,14,140,1
11848,101635345,1/3/2010 20:33,1/10/2010 1:36,1984,492,61,14,0,1
570,15470773,7/17/2008 12:33,1/10/2010 1:36,1962,1350,1743,8,55,1
928,16816894,10/16/2008 19:18,1/10/2010 1:37,3405,3621,2830,13,54,1
4472,47036474,6/13/2009 23:56,1/10/2010 1:37,13999,14498,282,11,145,1
7085,74358127,9/14/2009 22:51,1/10/2010 1:57,1970,2111,90,12,88,1
3627,38301710,5/6/2009 18:04,1/10/2010 20:11,21138,22628,4925,7,88,1
6009,63346036,8/5/2009 21:48,1/10/2010 20:32,1553,1487,3934,9,100,1
11089,99851025,12/27/2009 21:39,1/10/2010 20:53,277,52,0,15,80,1
6043,63788524,8/7/2009 13:04,1/10/2010 21:14,1208,905,842,7,72,1
3044,31160952,4/14/2009 11:33,1/10/2010 21:14,1745,426,404,8,56,1
12250,102868618,1/7/2010 21:09,1/10/2010 21:14,881,70,2,14,20,1
8533,86314201,10/30/2009 8:39,1/10/2010 21:35,685,278,2112,12,112,1
12192,102694085,1/7/2010 8:30,1/10/2010 21:56,664,17,1,14,0,1
9989,94903101,12/5/2009 18:57,1/10/2010 22:17,1063,120,2955,9,131,1
5238,55985778,7/11/2009 20:42,1/10/2010 22:17,3492,3410,2459,13,99,1
8797,88072027,11/6/2009 18:25,1/10/2010 22:38,1624,1539,1461,15,58,1
1748,20132635,2/5/2009 3:51,1/10/2010 22:59,7780,8837,16825,15,46,1
12195,102694572,1/7/2010 8:32,1/10/2010 22:59,196,4,1,15,0,1
1825,20652179,2/11/2009 21:45,1/10/2010 23:20,727,448,1794,11,35,1
10558,97425028,12/17/2009 5:51,1/10/2010 23:20,276,18,27,10,0,1
12249,102867251,1/7/2010 21:02,1/10/2010 23:20,2001,83,40,13,0,1
8091,83195800,10/17/2009 13:53,1/10/2010 23:20,784,694,60,9,21,1
11595,101089200,1/1/2010 18:00,1/10/2010 23:20,1357,167,141,13,155,1
10825,98684494,12/22/2009 11:49,1/10/2010 23:20,283,91,565,15,147,1
4004,42549763,5/25/2009 21:59,1/10/2010 23:41,219,91,74,13,160,1
12258,102903004,1/8/2010 0:08,1/10/2010 23:41,522,69,9,8,0,1
6971,72868171,9/9/2009 9:44,1/10/2010 2:18,4458,4052,2605,9,54,1
