,NumberOfFollowings,NumberOfFollowers,NumberOfTweets,LengthOfScreenName,LengthOfDescriptionInUserProfile,BadUser
8840,880,37,1,14,0,1
11577,248,2,0,9,107,1
9233,868,108,254,11,94,1
8841,913,65,2,12,0,1
4363,518,279,176,11,31,1
7949,1736,1641,277,9,59,1
7476,5931,5890,398,10,135,1
6366,2604,2600,426,14,97,1
5521,283,206,9,8,0,1
11016,357,54,13,8,105,1
10956,1981,901,21,15,0,1
10531,879,455,24,6,160,1
561,38471,35791,51895,8,100,1
8620,2984,2715,1507,8,18,1
11371,207,10,0,11,0,1
5840,1923,1654,639,13,78,1
6940,1212,446,39,12,117,1
6684,2043,1944,5636,13,46,1
11301,1178,55,7,9,0,1
7256,2484,2260,719,10,84,1
11169,821,86,211,12,57,1
10184,133,24,12,13,0,1
11403,488,2,62,15,0,1
7677,793,767,81,11,59,1
5058,2708,3009,5,8,18,1
11412,507,3,0,12,49,1
6664,1153,891,226,8,53,1
1893,3220,3156,1203,13,99,1
9646,990,452,241,14,0,1
11601,139,1,0,10,0,1
7708,2477,2270,105,15,57,1
1271,3720,4596,48,12,156,1
11432,941,8,0,7,114,1
10977,363,26,150,12,0,1
11573,584,1,82,14,49,1
7140,2840,2581,3282,12,67,1
5024,946,648,628,8,0,1
5355,1264,874,3,10,151,1
4687,5797,5270,23,8,114,1
1502,19345,19431,721,13,77,1
5846,4942,4837,428,15,75,1
2865,2537,2403,370,15,71,1
10650,1,0,3,11,0,1
11424,1330,412,8,8,73,1
7715,2999,2818,2608,15,146,1
4303,1906,619,15177,4,23,1
4912,1943,957,58,14,106,1
1275,535,283,132,11,64,1
1310,4282,4894,174,9,158,1
673,39835,38072,4679,13,149,1
8921,1042,62,331,13,0,1
8901,611,35,166,13,0,1
6620,1054,284,17,15,105,1
5557,5745,5775,1602,15,23,1
11547,45,7,5,15,0,1
11535,8,2,1,15,0,1
11549,10,0,1,12,0,1
11563,8,0,1,14,0,1
11561,9,0,1,15,0,1
11548,9,0,1,12,0,1
11444,967,4,0,13,0,1
11556,10,0,1,15,0,1
11557,10,0,1,13,0,1
6021,4184,4570,268,14,52,1
2077,1978,1043,12,15,27,1
4397,5077,4617,7849,14,45,1
11433,918,9,0,11,61,1
5787,1999,413,10,14,153,1
9090,1909,515,116,11,74,1
3103,104,20,22,9,75,1
28,6071,5913,2072,8,105,1
11388,1372,64,8,8,40,1
10926,1000,54,56,11,46,1
6648,1662,1233,468,15,79,1
4688,34222,32981,265,10,25,1
4695,456,588,139,12,93,1
3315,1666,1211,26,9,0,1
11449,935,9,0,13,0,1
11372,661,114,10,11,62,1
8627,29,115,201,13,0,1
6274,1775,609,3424,7,0,1
8217,1963,1680,208,8,132,1
11404,567,5,86,7,85,1
2772,1487,524,514,13,0,1
3068,11928,10853,1783,12,131,1
1815,32770,29966,2366,10,142,1
1162,12585,45329,1344,8,160,1
4938,5418,4930,312,15,112,1
11413,559,3,0,14,106,1
11380,248,0,0,12,111,1
5690,1627,1053,3735,15,46,1
3358,2882,2627,1524,14,106,1
8707,367,27,1197,12,75,1
10489,1901,337,4,14,154,1
10836,813,201,2,9,26,1
1725,20518,18948,2824,11,129,1
44,5223,5118,57,9,14,1
965,3122,3313,339,10,153,1
8704,1209,761,95,9,160,1
10954,1786,821,199,9,0,1
2962,30786,28209,231,12,131,1
1070,7901,7406,10363,8,114,1
10244,304,52,200,13,0,1
10549,1186,195,1,11,0,1
433,765,92,1,3,29,1
11406,675,0,82,7,158,1
6661,1379,1346,3534,13,157,1
11414,952,5,0,9,98,1
8013,2832,2882,1732,14,58,1
2606,45053,41343,99,9,154,1
11467,111,2,0,13,0,1
1085,16188,15981,4797,9,58,1
1028,8427,10552,864,7,154,1
714,10780,9849,248,5,73,1
7719,202,5,5,6,0,1
4856,6376,5798,2060,13,0,1
426,12440,11331,161,7,61,1
2985,3363,3060,1654,13,30,1
10994,914,709,162,9,49,1
6462,2695,2450,180,9,114,1
10726,872,139,129,15,0,1
522,14697,14240,1932,11,77,1
10222,809,493,43,12,110,1
1347,4831,4430,2002,6,126,1
10995,1463,642,134,11,86,1
3517,832,138,11,13,0,1
10774,297,50,3,12,33,1
1985,9867,11834,386,14,32,1
10999,586,298,283,13,97,1
7982,5468,4972,5,15,0,1
2441,1277,254,77,8,115,1
5318,842,263,441,8,95,1
2159,18758,17276,11730,6,63,1
8483,3015,2741,1606,10,90,1
7045,1466,323,545,7,30,1
1450,2059,1871,1276,13,96,1
8366,1833,1769,1395,10,0,1
5645,1626,583,58,13,153,1
5128,2508,2280,88,14,40,1
10673,729,303,226,14,87,1
11013,805,384,163,14,97,1
10747,855,52,33,14,0,1
11418,599,38,3,7,35,1
5388,1059,1129,1054,12,138,1
7093,1957,991,213,14,54,1
1813,3749,3408,1379,4,85,1
6278,1918,609,384,15,137,1
10402,1981,310,34,13,86,1
8063,1375,1470,755,10,135,1
11429,510,2,0,9,0,1
11475,178,4,2,8,0,1
8889,7485,6916,1519,14,65,1
11479,357,1,1,9,66,1
11477,353,1,1,10,23,1
11478,353,2,1,10,38,1
10655,1031,581,11,12,125,1
9953,1173,780,748,10,23,1
11058,314,211,1038,13,125,1
10976,543,40,47,11,0,1
3067,19753,21815,1019,7,139,1
9396,2665,2424,474,15,77,1
1983,6696,6099,617,15,158,1
7519,4964,4677,2896,9,58,1
11480,346,3,0,8,55,1
10672,202,135,209,8,108,1
10055,573,181,291,11,0,1
10538,779,490,3,9,85,1
9998,1243,1033,186,9,68,1
11109,1193,783,22,8,14,1
5330,1011,1003,67,8,26,1
1597,5440,5176,21747,9,158,1
8175,1424,1389,448,14,60,1
2487,2000,1361,784,4,47,1
3033,98,40,216,15,140,1
7992,1923,1859,80,14,124,1
11379,964,12,0,9,76,1
10033,1039,718,160,8,76,1
10075,2000,1753,263,9,85,1
9449,1999,1091,32,15,60,1
11684,636,4,1,15,0,1
11685,294,3,1,10,0,1
11686,571,5,1,13,0,1
11687,524,6,1,15,0,1
11659,375,4,1,13,0,1
11675,619,3,1,12,0,1
11676,573,2,1,13,0,1
9335,1409,592,96,7,156,1
9737,391,186,169,10,43,1
11692,463,2,1,14,0,1
12260,515,56,9,12,0,1
3905,4418,4653,172,15,136,1
305,93,15,9,10,50,1
11689,548,1,1,15,0,1
4784,505,167,25,11,42,1
8384,1567,1120,1084,11,87,1
9524,1899,1659,246,13,155,1
10815,969,77,852,9,88,1
7370,2256,2049,89,12,101,1
11180,827,258,104,15,112,1
4890,1135,824,1312,8,0,1
7400,4557,4147,1009,12,40,1
9037,2821,2675,1106,9,84,1
6951,221,141,30,12,90,1
4253,1533,1308,118,10,62,1
10119,1559,375,16,15,0,1
681,23784,21959,4470,5,105,1
10718,589,87,29,11,85,1
1988,2399,2445,390,11,135,1
4609,2001,1696,4657,10,104,1
2708,1965,1034,440,12,159,1
130,2072,4283,3490,8,83,1
10000,533,331,10,7,0,1
6439,1473,1100,637,6,73,1
5860,6257,6158,2426,12,151,1
11973,20,0,4,14,0,1
8291,1988,1647,731,14,159,1
6254,699,133,64,13,155,1
8337,534,104,61,13,104,1
12448,98,1,1,10,72,1
12444,117,6,17,14,0,1
8783,1920,1378,1316,12,153,1
1321,14544,13351,2085,13,160,1
12442,615,5,0,13,0,1
12294,404,72,13,11,101,1
11602,1478,179,61,15,102,1
11289,349,48,21,11,0,1
10058,51,4,29,10,0,1
1559,408,101,170,6,109,1
9545,1813,1336,1212,12,64,1
9559,1331,400,652,13,73,1
493,2894,4312,135,12,50,1
947,2477,2442,1152,12,130,1
785,19335,19198,4403,11,141,1
7479,2436,2712,6144,15,47,1
3765,261,190,266,13,78,1
11884,595,83,2,15,126,1
6299,625,750,383,11,74,1
2599,5487,4995,91,10,22,1
6334,611,375,272,12,0,1
1577,10405,10009,10257,14,140,1
11848,1984,492,61,14,0,1
570,1962,1350,1743,8,55,1
928,3405,3621,2830,13,54,1
4472,13999,14498,282,11,145,1
7085,1970,2111,90,12,88,1
3627,21138,22628,4925,7,88,1
6009,1553,1487,3934,9,100,1
11089,277,52,0,15,80,1
6043,1208,905,842,7,72,1
3044,1745,426,404,8,56,1
12250,881,70,2,14,20,1
8533,685,278,2112,12,112,1
12192,664,17,1,14,0,1
9989,1063,120,2955,9,131,1
5238,3492,3410,2459,13,99,1
8797,1624,1539,1461,15,58,1
1748,7780,8837,16825,15,46,1
12195,196,4,1,15,0,1
1825,727,448,1794,11,35,1
10558,276,18,27,10,0,1
12249,2001,83,40,13,0,1
8091,784,694,60,9,21,1
11595,1357,167,141,13,155,1
10825,283,91,565,15,147,1
4004,219,91,74,13,160,1
12258,522,69,9,8,0,1
6971,4458,4052,2605,9,54,1
11253,1649,714,0,15,0,1
11925,716,43,12,13,0,1
5068,1975,422,57,12,89,1
3322,5103,5112,4483,11,56,1
10432,893,153,41,13,113,1
12156,1921,131,1,10,0,1
3713,926,192,2344,12,25,1
6420,1335,518,1216,10,23,1
4900,1960,798,20,12,0,1
6074,2183,3877,21652,15,112,1
11400,1169,125,1,14,95,1
8922,1059,88,301,13,0,1
11255,98,20,229,12,100,1
8564,1679,1279,1845,15,99,1
12208,265,40,14,11,67,1
9595,1384,1120,129,13,86,1
4252,2340,2193,464,12,102,1
8292,991,398,110,15,54,1
5289,606,166,107,10,70,1
10478,1070,443,103,15,42,1
3841,2302,3605,4681,7,19,1
12379,280,16,0,13,0,1
5366,5108,4692,218,9,160,1
11700,622,3,1,13,0,1
11694,526,4,1,11,0,1
11488,442,149,29,12,0,1
11695,474,3,1,15,0,1
5691,2001,1229,4405,14,45,1
11624,157,47,30,14,43,1
12389,831,43,92,15,0,1
11696,744,3,1,14,0,1
11699,671,3,1,15,0,1
5209,1152,890,1134,12,72,1
5618,816,465,28,9,160,1
4142,1898,1308,361,11,94,1
1875,1470,1118,20,10,15,1
10791,379,79,11,15,147,1
11393,386,174,28,15,130,1
10406,574,243,345,13,100,1
1563,1543,1529,827,9,103,1
11497,337,107,16,15,0,1
10730,91,13,14,15,136,1
11459,510,65,296,8,0,1
3876,827,947,2202,12,158,1
11311,1741,266,2,12,77,1
12387,303,26,38,14,40,1
3376,785,326,133,11,21,1
5081,1583,428,142,9,69,1
441,4769,5641,2662,10,38,1
9063,763,111,46,8,46,1
6323,2650,2447,212,13,44,1
8581,2364,2236,511,12,0,1
2642,1329,1195,13,11,0,1
2882,11573,10520,2625,12,102,1
4745,362,543,204,15,143,1
11922,294,26,0,15,33,1
10352,293,175,2044,8,0,1
11463,314,34,177,11,0,1
11999,1032,548,199,5,28,1
9579,852,676,119,15,83,1
12322,312,95,34,9,38,1
10532,1057,944,8,11,80,1
9699,895,514,64,10,0,1
9783,864,476,58,8,0,1
12177,56,4,0,10,66,1
12421,392,0,0,10,22,1
12126,264,22,5,11,0,1
2625,7155,6674,9802,10,37,1
12425,191,1,1,14,145,1
6700,1667,1082,1006,12,111,1
3590,6465,5877,140,13,65,1
5044,1449,991,843,10,0,1
9898,1343,782,11904,13,41,1
1837,3652,3339,3555,4,150,1
12365,500,73,1,15,98,1
6612,2313,2103,656,9,21,1
6017,5466,4976,12982,13,147,1
2423,954,880,7400,13,55,1
12182,361,26,1,15,115,1
2895,2256,2073,236,12,41,1
8385,1796,1255,958,11,0,1
3631,133,103,21,14,70,1
8604,1786,538,355,9,0,1
1247,13470,12358,2033,14,151,1
8233,1954,936,22,10,59,1
9673,3411,2933,2,15,115,1
7046,10123,9369,2236,14,25,1
5573,2165,2020,445,9,3,1
942,16519,17832,3870,11,159,1
9544,814,108,20,13,55,1
11262,1812,204,271,8,21,1
307,1329,846,169,10,113,1
10390,689,534,58,8,67,1
846,2811,2677,737,12,29,1
817,3656,3325,5408,13,39,1
12504,40,0,1,14,0,1
12263,502,79,11,10,0,1
6716,3868,3543,9,11,0,1
9900,174,5,12,12,138,1
12459,97,0,2,15,31,1
444,62,78,297,9,75,1
10583,1867,1102,101,14,60,1
8073,77,49,88,9,32,1
4721,1031,786,98,13,87,1
3431,1270,923,2152,8,88,1
1888,2547,2382,707,15,88,1
2886,1123,451,653,15,30,1
10984,1048,136,0,14,90,1
7127,258,1,2,15,30,1
7074,2546,2314,1692,13,80,1
2869,888,542,72,7,50,1
3780,1603,1331,118,13,138,1
8739,539,427,156,14,22,1
11421,574,89,25,12,59,1
9626,533,284,139,15,84,1
4840,2819,2667,45,13,42,1
2729,2258,2052,3488,6,52,1
12376,440,32,0,12,0,1
8071,3495,3222,95,10,66,1
8075,2694,2661,136,15,120,1
653,2843,2591,55,14,0,1
2749,1761,3384,75,13,64,1
10920,1319,632,225,14,94,1
2168,990,359,16,11,24,1
1863,2883,2746,125,14,17,1
6600,1298,1335,25,9,54,1
12410,116,11,3,14,0,1
6512,557,337,16,8,42,1
11088,320,48,0,14,81,1
1124,64687,78049,4024,8,96,1
12506,93,23,76,12,86,1
362,13733,12501,386,12,122,1
5940,230,183,99,8,26,1
5194,1047,290,3,15,155,1
3368,644,170,28,11,124,1
3621,1148,1065,343,14,0,1
3981,16888,15968,2246,13,152,1
9050,778,631,1583,10,11,1
3261,1465,1307,466,9,23,1
5470,1995,1665,921,15,0,1
11627,1931,238,62,13,59,1
10176,1192,193,0,7,0,1
12397,149,2,0,15,0,1
6591,706,388,189,8,0,1
10057,571,393,4,15,50,1
7461,5846,5322,224,14,154,1
10457,1671,1255,98,9,90,1
10841,294,286,9969,8,0,1
5553,874,1001,244,10,43,1
7419,1235,851,62,11,75,1
11688,443,5,2,15,0,1
6518,2053,1864,973,7,0,1
12317,212,49,21,8,90,1
11698,396,6,2,14,0,1
11703,403,10,2,13,0,1
2324,349,108,82,7,0,1
5011,11795,11486,368,12,27,1
6610,5677,5923,1132,15,111,1
10992,451,2,3,8,0,1
11678,457,7,2,15,0,1
11691,414,3,1,14,0,1
12106,1922,828,9,11,0,1
11705,448,13,1,14,0,1
11693,476,13,2,13,0,1
12401,286,39,23,10,92,1
12372,318,51,5,11,36,1
9619,6084,5614,3497,11,63,1
12502,36,1,6,9,0,1
5188,29141,28858,102,5,86,1
11690,565,9,2,13,0,1
3460,1130,629,203,8,12,1
11804,1035,86,32,11,0,1
5979,6526,6097,4999,15,160,1
12306,218,84,13,6,21,1
1015,14923,17640,2031,10,137,1
1944,616,754,726,13,13,1
2835,28974,29771,83,12,160,1
11680,556,3,2,14,0,1
11828,1540,178,218,11,0,1
9587,1655,1632,417,15,84,1
11702,533,12,2,13,0,1
11679,464,14,1,13,0,1
9393,2353,2139,433,14,131,1
9117,1250,763,908,10,86,1
5985,2001,711,737,9,138,1
10308,443,120,24,8,49,1
6381,921,792,1581,8,96,1
5244,1984,858,139,9,49,1
12443,503,65,11,14,88,1
7251,1575,1087,211,13,114,1
11706,401,3,1,15,0,1
11709,452,8,1,12,0,1
12328,574,26,9,7,0,1
11090,358,36,0,14,111,1
12481,375,12,129,15,65,1
301,3382,8113,259,11,34,1
9528,237,138,45,13,64,1
4818,469,509,26,10,0,1
12189,370,14,1,13,0,1
9204,1981,1208,69,10,44,1
2476,1207,1693,1491,8,30,1
5228,2394,2176,47,14,87,1
4555,2001,1481,2334,15,111,1
1557,6610,6164,737,11,0,1
12517,73,0,0,12,149,1
12138,530,205,87,11,0,1
12510,217,2,1,9,0,1
11920,177,10,30,8,25,1
5563,7903,7651,1953,10,138,1
378,2001,600,18909,6,20,1
12193,190,0,1,15,0,1
10329,167,8,2,9,95,1
4190,2123,1930,23,15,0,1
12196,382,3,1,15,0,1
2136,4163,6275,10,5,0,1
854,15267,15522,6584,15,130,1
4451,351,188,81,11,71,1
12197,373,6,1,15,0,1
8080,1305,684,31,9,135,1
6411,1970,1485,427,14,99,1
11585,802,56,227,4,58,1
4629,4733,4525,960,15,101,1
12194,429,7,1,11,0,1
2982,1856,2376,526,8,82,1
12415,360,4,0,12,0,1
12523,242,2,6,8,0,1
8003,1107,1416,1849,12,0,1
1142,8716,8763,4692,14,154,1
12057,1167,77,7,11,0,1
1687,2001,1753,1407,15,156,1
1637,1337,871,135,8,73,1
10194,1763,790,32,9,79,1
3774,29735,28535,3089,10,128,1
3294,12004,15368,504,9,41,1
11523,478,142,15,11,0,1
9111,1958,1687,1459,11,83,1
10373,539,149,399,15,0,1
8753,913,818,22,9,0,1
6307,427,173,5,10,147,1
2948,1224,1080,30,11,0,1
2710,1934,1224,42,14,0,1
6929,1271,1184,19,6,155,1
5782,3755,3543,16236,14,27,1
8405,2001,727,919,11,82,1
11559,534,210,24,13,0,1
8239,1263,635,8,8,113,1
488,6417,6322,6193,9,28,1
1478,3070,3404,386,9,160,1
8881,2456,2567,1341,12,18,1
6818,2303,2179,129,14,76,1
1014,3582,3355,3610,12,101,1
2092,28768,27425,3837,11,154,1
3530,1963,1450,57,13,138,1
4421,12,5,14,5,57,1
4200,13419,12250,2970,14,66,1
3586,1997,1742,2928,12,103,1
9902,352,165,1,10,110,1
8827,1113,727,62,7,0,1
7943,763,353,218,11,151,1
12209,1783,206,1,14,78,1
9172,1228,899,502,10,37,1
12266,63,2,3,10,0,1
3320,798,422,294,15,0,1
9385,1628,605,88,15,63,1
12256,316,57,325,15,93,1
9121,1879,872,958,15,160,1
11046,58,30,54,14,116,1
9441,1286,1511,32,13,141,1
11974,540,39,16,12,70,1
9461,631,162,6,12,27,1
6034,2931,2805,97,7,107,1
12586,156,9,2,11,85,1
8633,104,0,2,13,71,1
11948,1851,548,37,12,65,1
4766,8135,7418,1980,5,135,1
12312,571,9,1,12,115,1
651,4124,7640,3936,12,122,1
2484,1267,442,129,15,0,1
10657,1328,126,122,15,95,1
2358,4657,4356,1777,14,86,1
4399,4819,4436,279,11,22,1
12198,377,11,1,15,0,1
12579,87,4,6,10,0,1
6481,2646,2547,193,15,151,1
9151,1228,855,462,13,41,1
12361,517,45,88,12,87,1
752,10834,10036,101,14,89,1
5082,679,41,36,15,0,1
778,5348,4970,2899,13,155,1
4140,816,620,1,8,0,1
12485,594,64,12,11,33,1
12573,869,2,0,9,31,1
7436,1032,300,43,15,0,1
8761,1652,329,5300,11,55,1
292,8071,7425,5272,9,88,1
7540,735,342,66,7,62,1
9101,1991,1001,1614,13,67,1
9866,1196,796,116,12,116,1
9877,911,392,154,13,76,1
9872,852,399,115,13,120,1
2425,2938,3195,2026,9,107,1
1634,29720,29731,107,8,156,1
3642,493,162,19,13,57,1
572,20807,20195,6168,8,140,1
1011,7189,7232,1638,7,134,1
12634,112,4,1,10,109,1
8961,1677,1314,805,13,139,1
5229,1963,1051,9,13,46,1
3393,1431,912,37,12,69,1
11842,1779,551,132,13,56,1
3137,216,5,1,12,28,1
141,53675,58173,2311,7,86,1
4360,6974,6319,90,13,86,1
6353,4301,4141,427,10,156,1
7291,201,74,412,11,0,1
1795,222,128,655,9,72,1
12251,162,66,24,14,81,1
9471,883,372,56,10,127,1
10802,2494,2322,220,8,75,1
3043,8494,8021,39195,7,137,1
2562,1006,264,30,8,59,1
12695,28,3,5,14,0,1
3617,2001,1435,6343,7,80,1
262,2001,1719,2123,10,67,1
12433,511,96,1,12,0,1
6258,1178,566,117,13,97,1
10435,751,219,58,11,0,1
11041,292,435,845,15,42,1
10436,1052,288,95,11,0,1
2286,7299,6920,2224,11,121,1
2019,1399,1270,149,10,56,1
8566,766,582,589,11,59,1
12563,95,0,0,7,66,1
12565,761,0,0,8,0,1
10837,856,321,134,10,77,1
6821,1303,1092,1408,15,8,1
6394,8984,8752,1333,11,99,1
9371,431,300,8,14,0,1
789,5723,5481,74,9,154,1
2503,252,250,241,9,107,1
7834,66,53,203,10,70,1
12527,338,25,5,15,79,1
4809,1940,933,104,13,114,1
12469,93,6,4,15,0,1
4914,2409,2298,386,13,80,1
2603,1414,445,1300,13,0,1
4820,4504,4088,846,15,154,1
10887,454,301,6,14,77,1
12168,1742,335,64,8,24,1
3345,4198,3880,10706,12,96,1
5371,2341,2129,515,8,128,1
2462,2832,2585,269,10,71,1
7423,2752,2530,2205,10,62,1
11953,1528,243,6,9,0,1
9028,1752,1627,161,10,127,1
12463,110,3,0,12,0,1
1897,7470,7060,4399,10,160,1
12531,415,0,2,10,60,1
2192,983,169,723,11,139,1
5938,2067,1971,3665,13,147,1
7465,311,124,24,10,115,1
1400,26900,25849,18678,10,156,1
1761,1387,528,1488,5,84,1
9324,1042,340,118,11,0,1
12382,564,110,13,12,156,1
5735,282,61,9,10,132,1
12471,109,5,3,15,0,1
12623,183,1,0,12,0,1
10392,587,256,421,13,141,1
8220,1450,858,2138,8,160,1
10684,2001,791,37,15,75,1
8238,1289,787,2024,8,70,1
7629,498,345,296,15,0,1
2927,1523,1471,609,15,52,1
6564,2720,2472,255,14,86,1
12624,109,0,0,11,0,1
1330,11281,10353,13794,8,99,1
12564,221,9,5,11,0,1
7980,707,147,973,11,124,1
11194,309,68,23,15,0,1
2108,3645,10118,2583,9,47,1
7977,1521,1170,418,12,71,1
5223,391,469,3971,7,90,1
5915,1014,637,1,6,79,1
10914,1558,280,80,13,0,1
12605,106,1,0,11,0,1
12004,339,56,18,13,68,1
10577,1289,385,87,14,19,1
12524,285,100,140,15,94,1
12385,1193,114,2,12,56,1
9928,268,93,527,9,51,1
12607,165,1,0,13,0,1
1849,5244,11039,803,6,157,1
1625,1108,1110,2189,6,154,1
3622,447,138,247,8,90,1
12632,288,3,1,14,0,1
2402,317,70,60,15,159,1
10424,656,51,505,10,54,1
1699,11856,10984,352,13,0,1
52,191,174,63,8,51,1
10981,246,3,7,10,91,1
966,672,210,46,12,0,1
8161,2001,1471,1909,12,0,1
2943,384,189,40,7,139,1
2797,3126,3156,5765,12,65,1
12629,923,20,2,13,116,1
9340,1985,839,62,14,1,1
8896,536,51,211,13,0,1
9795,912,324,571,12,59,1
11042,1351,765,364,11,0,1
10676,418,124,37,11,157,1
987,41310,40841,4343,8,104,1
9104,1845,1578,776,15,126,1
9757,1672,1155,679,10,83,1
5556,5759,6570,963,12,74,1
1313,2562,3338,536,14,143,1
9760,416,188,418,14,78,1
7984,4821,4553,1281,8,115,1
8362,510,160,56,15,0,1
9575,433,50,394,10,32,1
924,805,569,297,13,78,1
921,5936,5717,411,7,153,1
12561,168,44,6,15,61,1
12383,617,110,71,15,51,1
7375,5720,5495,108,9,0,1
11342,399,162,86,12,0,1
3873,3507,3375,232,13,28,1
1963,2000,1687,11,10,90,1
5491,1877,1432,918,11,0,1
2185,6309,6668,272,13,138,1
3041,688,639,302,15,44,1
7203,1848,1569,454,12,56,1
3090,5131,4725,1979,7,80,1
9189,1114,967,1118,15,0,1
7134,1947,1686,677,13,102,1
11060,138,115,23,11,0,1
12735,173,0,1,9,0,1
12476,295,9,3,9,0,1
5016,25148,23484,14027,13,98,1
2699,10536,10280,11069,5,155,1
11447,1546,1402,18,14,86,1
2024,8231,7611,370,7,66,1
2396,818,549,658,14,117,1
12278,1300,638,3,13,153,1
8354,344,97,56,15,77,1
12466,368,64,4,13,0,1
1719,8417,7666,63,10,128,1
12731,140,0,1,13,83,1
1116,2001,1738,9695,7,73,1
12321,777,113,5,8,62,1
5571,1302,921,98,14,51,1
452,23244,24159,5425,14,159,1
12608,371,3,0,13,0,1
3566,5893,5357,10192,13,127,1
1810,3579,3416,310,8,0,1
9923,876,164,110,12,160,1
1671,1012,736,171,9,69,1
10054,1432,395,1501,10,0,1
10048,1349,385,1368,9,0,1
12248,221,20,0,15,95,1
10053,1052,337,998,10,0,1
10052,1289,364,1360,14,0,1
11843,570,208,222,11,0,1
9557,64,5,70,8,0,1
5502,803,131,0,11,0,1
6131,1377,1262,1351,12,106,1
4635,213,316,2131,12,54,1
6815,2695,2542,17,10,83,1
4370,1546,1164,649,14,0,1
5870,649,168,13,7,50,1
8460,2292,2086,2066,13,0,1
2356,1912,1293,48,9,89,1
11707,385,23,1,15,0,1
11708,396,20,1,14,0,1
12775,185,0,0,10,52,1
12503,1197,252,19,8,84,1
3978,6405,5829,1980,11,111,1
1430,15128,18038,391,15,68,1
12662,347,40,5,15,144,1
6352,5832,5342,572,13,97,1
8132,630,527,16,10,14,1
557,9020,8466,740,9,156,1
2532,7800,7795,406,4,148,1
12190,193,1,1,13,0,1
6811,1837,1522,309,9,73,1
10482,2001,559,10,15,36,1
12300,909,203,13,13,93,1
8100,2001,1093,261,6,67,1
2693,667,112,579,9,27,1
12380,317,128,9,13,44,1
71,392,102,81,13,85,1
6047,2347,2365,2147,11,73,1
12417,198,0,1,14,23,1
10301,703,123,435,13,0,1
12703,174,10,0,8,0,1
1498,708,317,529,8,119,1
5498,973,135,0,13,0,1
12593,420,23,54,13,0,1
6376,10766,9822,14683,7,44,1
6266,4357,4014,715,15,40,1
1623,932,725,135,10,91,1
12418,124,1,1,15,16,1
5471,1945,1850,92,14,62,1
12538,517,39,64,14,0,1
12702,147,2,1,11,0,1
5626,2001,1657,238,9,49,1
11278,383,35,10,8,78,1
12627,449,10,11,13,0,1
10458,2000,1417,125,15,119,1
11808,1021,623,362,6,0,1
11460,1043,587,444,7,0,1
10302,1610,1469,174,14,74,1
5220,1577,1465,22,13,65,1
9643,1697,1099,74,14,90,1
6466,4810,4422,10402,13,64,1
9081,171,50,2,13,139,1
7706,2001,443,8,13,22,1
12030,525,338,2836,14,0,1
11781,672,112,464,14,101,1
12616,956,303,24,14,70,1
8595,1784,586,182,9,35,1
7094,4284,4505,818,7,93,1
12609,267,36,18,15,98,1
9032,362,144,118,10,58,1
2517,672,200,1781,8,0,1
12704,126,3,0,14,68,1
11083,652,402,12,12,74,1
6398,1265,182,5,7,0,1
12701,94,1,0,10,0,1
5079,1852,814,650,14,130,1
2975,997,778,523,13,36,1
9540,1540,1230,25,11,46,1
9535,1613,1318,25,7,127,1
11381,598,300,32,9,36,1
